,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
125,0.0963899,-0.521142,1.14377,0.960492,deg,ALU,0.236076,none,0.051841,CLAS,e-,10.6,p,0.93827208816
126,0.107063,-0.569869,1.14956,1.15889,deg,ALU,0.243359,none,0.0646125,CLAS,e-,10.6,p,0.93827208816
127,0.103671,-0.579818,1.17611,1.35817,deg,ALU,0.285523,none,0.0730006,CLAS,e-,10.6,p,0.93827208816
128,0.103033,-0.595304,1.15759,1.79238,deg,ALU,-0.00907658,none,0.11479,CLAS,e-,10.6,p,0.93827208816
129,0.0987094,-0.519428,1.15934,2.18711,deg,ALU,-0.049887,none,0.103501,CLAS,e-,10.6,p,0.93827208816
130,0.0958013,-0.539456,1.15978,2.42914,deg,ALU,0.0369868,none,0.0942393,CLAS,e-,10.6,p,0.93827208816
131,0.0962247,-0.546406,1.17395,2.60659,deg,ALU,0.189639,none,0.0622003,CLAS,e-,10.6,p,0.93827208816
132,0.0992283,-0.547964,1.16797,2.79856,deg,ALU,0.0178736,none,0.0654931,CLAS,e-,10.6,p,0.93827208816
133,0.0979716,-0.550906,1.16625,2.98036,deg,ALU,-0.166659,none,0.0746628,CLAS,e-,10.6,p,0.93827208816
134,0.0971619,-0.565623,1.16517,3.1729,deg,ALU,0.280896,none,0.0608324,CLAS,e-,10.6,p,0.93827208816
135,0.103037,-0.560152,1.16145,3.36125,deg,ALU,-0.0145401,none,0.111188,CLAS,e-,10.6,p,0.93827208816
136,0.105033,-0.558237,1.17117,3.57406,deg,ALU,-0.0101048,none,0.097186,CLAS,e-,10.6,p,0.93827208816
137,0.100762,-0.55511,1.17547,3.93635,deg,ALU,-0.15438,none,0.104113,CLAS,e-,10.6,p,0.93827208816
138,0.0935493,-0.553584,1.16017,4.27993,deg,ALU,-0.102152,none,0.102915,CLAS,e-,10.6,p,0.93827208816
139,0.0961437,-0.559525,1.17736,4.49166,deg,ALU,-0.156739,none,0.0912193,CLAS,e-,10.6,p,0.93827208816
140,0.0978248,-0.559882,1.16435,4.68683,deg,ALU,-0.0585814,none,0.0782172,CLAS,e-,10.6,p,0.93827208816
141,0.102275,-0.560881,1.1616,4.87548,deg,ALU,-0.0775793,none,0.0699015,CLAS,e-,10.6,p,0.93827208816
142,0.105993,-0.570375,1.14741,5.05518,deg,ALU,-0.109989,none,0.0672654,CLAS,e-,10.6,p,0.93827208816
143,0.102085,-0.527525,1.15525,5.25065,deg,ALU,-0.174642,none,0.0730375,CLAS,e-,10.6,p,0.93827208816
144,0.083122,-0.49437,1.17527,5.45178,deg,ALU,-0.125972,none,0.0468792,CLAS,e-,10.6,p,0.93827208816
145,0.0845107,-0.523626,1.18182,5.63522,deg,ALU,-0.138529,none,0.0216395,CLAS,e-,10.6,p,0.93827208816
146,0.097283,-0.590121,1.17039,5.81052,deg,ALU,-0.0688859,none,0.015368,CLAS,e-,10.6,p,0.93827208816
147,0.107828,-0.636108,1.12178,5.95532,deg,ALU,-0.100785,none,0.0286473,CLAS,e-,10.6,p,0.93827208816
148,0.160428,-0.497658,1.22913,0.104143,deg,ALU,0.0192736,none,0.0364247,CLAS,e-,10.6,p,0.93827208816
149,0.146828,-0.575049,1.22615,0.276666,deg,ALU,0.0503379,none,0.0305856,CLAS,e-,10.6,p,0.93827208816
150,0.156225,-0.612999,1.21785,0.460553,deg,ALU,0.158211,none,0.0743348,CLAS,e-,10.6,p,0.93827208816
151,0.161458,-0.631304,1.13591,0.669007,deg,ALU,-0.0543047,none,0.0751093,CLAS,e-,10.6,p,0.93827208816
152,0.159885,-0.626027,1.18005,0.84447,deg,ALU,0.171522,none,0.0642351,CLAS,e-,10.6,p,0.93827208816
153,0.157903,-0.614117,1.20597,1.02315,deg,ALU,0.23415,none,0.0713848,CLAS,e-,10.6,p,0.93827208816
154,0.156862,-0.609171,1.18866,1.24743,deg,ALU,0.228971,none,0.0949233,CLAS,e-,10.6,p,0.93827208816
