,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
98,0.125,-0.446,1.131,278.0,deg,deltad4SigLU,-0.0330602,nb GeV^-4,0.0146186,0.00395372,CLAS,e-,5.88,p,0.93827208816
99,0.125,-0.446,1.13,293.1,deg,deltad4SigLU,-0.0879626,nb GeV^-4,0.0172739,0.00642597,CLAS,e-,5.88,p,0.93827208816
100,0.125,-0.446,1.13,308.2,deg,deltad4SigLU,-0.0426315,nb GeV^-4,0.0290605,0.0219681,CLAS,e-,5.88,p,0.93827208816
101,0.125,-0.451,1.126,322.5,deg,deltad4SigLU,-0.0897167,nb GeV^-4,0.0753662,0.0257915,CLAS,e-,5.88,p,0.93827208816
102,0.125,-0.615,1.125,22.9,deg,deltad4SigLU,0.116021,nb GeV^-4,0.0520797,0.0139754,CLAS,e-,5.88,p,0.93827208816
103,0.126,-0.602,1.131,36.7,deg,deltad4SigLU,0.0227332,nb GeV^-4,0.0157149,0.00754331,CLAS,e-,5.88,p,0.93827208816
104,0.125,-0.603,1.131,51.8,deg,deltad4SigLU,0.0112652,nb GeV^-4,0.0144589,0.00488878,CLAS,e-,5.88,p,0.93827208816
105,0.125,-0.603,1.131,82.0,deg,deltad4SigLU,0.0272763,nb GeV^-4,0.013544,0.0118163,CLAS,e-,5.88,p,0.93827208816
106,0.125,-0.603,1.131,97.1,deg,deltad4SigLU,0.0162461,nb GeV^-4,0.00671038,0.00200056,CLAS,e-,5.88,p,0.93827208816
107,0.125,-0.603,1.131,112.1,deg,deltad4SigLU,0.00306738,nb GeV^-4,0.00731658,0.00295536,CLAS,e-,5.88,p,0.93827208816
108,0.125,-0.603,1.132,127.2,deg,deltad4SigLU,-0.0063046,nb GeV^-4,0.00686982,0.00275585,CLAS,e-,5.88,p,0.93827208816
109,0.125,-0.603,1.132,142.3,deg,deltad4SigLU,-0.0175563,nb GeV^-4,0.00897809,0.00334091,CLAS,e-,5.88,p,0.93827208816
110,0.125,-0.603,1.132,157.4,deg,deltad4SigLU,-0.00759204,nb GeV^-4,0.00690658,0.00349119,CLAS,e-,5.88,p,0.93827208816
111,0.125,-0.603,1.132,172.5,deg,deltad4SigLU,0.0062807,nb GeV^-4,0.0101605,0.00059002,CLAS,e-,5.88,p,0.93827208816
112,0.125,-0.603,1.132,187.5,deg,deltad4SigLU,0.00247094,nb GeV^-4,0.00886002,0.00665769,CLAS,e-,5.88,p,0.93827208816
113,0.125,-0.603,1.132,202.6,deg,deltad4SigLU,0.00472038,nb GeV^-4,0.00613866,0.00309626,CLAS,e-,5.88,p,0.93827208816
114,0.125,-0.603,1.132,217.7,deg,deltad4SigLU,-0.00415004,nb GeV^-4,0.0055308,0.00347244,CLAS,e-,5.88,p,0.93827208816
115,0.125,-0.603,1.132,232.8,deg,deltad4SigLU,0.00103701,nb GeV^-4,0.00591265,0.0040529,CLAS,e-,5.88,p,0.93827208816
116,0.125,-0.603,1.131,262.9,deg,deltad4SigLU,0.00378366,nb GeV^-4,0.00797246,0.0025787,CLAS,e-,5.88,p,0.93827208816
117,0.125,-0.603,1.131,278.0,deg,deltad4SigLU,-0.0134792,nb GeV^-4,0.0117167,0.00278463,CLAS,e-,5.88,p,0.93827208816
118,0.125,-0.603,1.131,293.1,deg,deltad4SigLU,-0.00708719,nb GeV^-4,0.0124162,0.00519631,CLAS,e-,5.88,p,0.93827208816
119,0.125,-0.603,1.131,308.2,deg,deltad4SigLU,-0.0454152,nb GeV^-4,0.0158077,0.0115392,CLAS,e-,5.88,p,0.93827208816
120,0.126,-0.602,1.131,323.3,deg,deltad4SigLU,0.0232742,nb GeV^-4,0.0240516,0.00625265,CLAS,e-,5.88,p,0.93827208816
121,0.125,-0.615,1.125,337.1,deg,deltad4SigLU,-0.0477851,nb GeV^-4,0.0394169,0.0092998,CLAS,e-,5.88,p,0.93827208816
122,0.126,-0.859,1.13,7.3,deg,deltad4SigLU,0.00498107,nb GeV^-4,0.014049,0.00221224,CLAS,e-,5.88,p,0.93827208816
123,0.126,-0.86,1.13,21.9,deg,deltad4SigLU,0.0106498,nb GeV^-4,0.0108634,0.00853167,CLAS,e-,5.88,p,0.93827208816
124,0.126,-0.862,1.13,36.8,deg,deltad4SigLU,-0.00178971,nb GeV^-4,0.00625979,0.00228946,CLAS,e-,5.88,p,0.93827208816
125,0.125,-0.863,1.131,51.8,deg,deltad4SigLU,0.00356522,nb GeV^-4,0.0047405,0.00176607,CLAS,e-,5.88,p,0.93827208816
126,0.125,-0.864,1.131,66.9,deg,deltad4SigLU,0.00122267,nb GeV^-4,0.00509809,0.00105221,CLAS,e-,5.88,p,0.93827208816
127,0.125,-0.864,1.131,82.0,deg,deltad4SigLU,0.0161594,nb GeV^-4,0.00520011,0.0018931,CLAS,e-,5.88,p,0.93827208816
128,0.125,-0.864,1.132,97.1,deg,deltad4SigLU,0.00202341,nb GeV^-4,0.0036374,0.00206358,CLAS,e-,5.88,p,0.93827208816
129,0.125,-0.864,1.132,112.1,deg,deltad4SigLU,-0.00292336,nb GeV^-4,0.00347465,0.00187929,CLAS,e-,5.88,p,0.93827208816
130,0.125,-0.864,1.132,127.2,deg,deltad4SigLU,-0.00283117,nb GeV^-4,0.00437972,0.000938122,CLAS,e-,5.88,p,0.93827208816
131,0.125,-0.864,1.132,157.4,deg,deltad4SigLU,-0.00270737,nb GeV^-4,0.00606332,0.0037302,CLAS,e-,5.88,p,0.93827208816
132,0.125,-0.864,1.132,187.5,deg,deltad4SigLU,0.0135793,nb GeV^-4,0.0131094,0.000791803,CLAS,e-,5.88,p,0.93827208816
133,0.125,-0.864,1.132,202.6,deg,deltad4SigLU,0.0113463,nb GeV^-4,0.00975459,0.00363183,CLAS,e-,5.88,p,0.93827208816
134,0.125,-0.864,1.132,217.7,deg,deltad4SigLU,-0.00304482,nb GeV^-4,0.00291243,0.00183581,CLAS,e-,5.88,p,0.93827208816
135,0.125,-0.864,1.132,232.8,deg,deltad4SigLU,-0.00236846,nb GeV^-4,0.00422064,0.00153453,CLAS,e-,5.88,p,0.93827208816
136,0.125,-0.864,1.132,262.9,deg,deltad4SigLU,-0.00402111,nb GeV^-4,0.00397395,0.000726439,CLAS,e-,5.88,p,0.93827208816
137,0.125,-0.864,1.131,278.0,deg,deltad4SigLU,0.00580723,nb GeV^-4,0.00379575,0.0028311,CLAS,e-,5.88,p,0.93827208816
138,0.125,-0.864,1.131,293.1,deg,deltad4SigLU,-0.00636179,nb GeV^-4,0.00554521,0.00343206,CLAS,e-,5.88,p,0.93827208816
139,0.125,-0.863,1.131,308.2,deg,deltad4SigLU,0.00222117,nb GeV^-4,0.0087031,0.00241565,CLAS,e-,5.88,p,0.93827208816
140,0.126,-0.862,1.13,323.2,deg,deltad4SigLU,0.0201054,nb GeV^-4,0.00940611,0.00326879,CLAS,e-,5.88,p,0.93827208816
141,0.126,-0.86,1.13,338.1,deg,deltad4SigLU,0.0028345,nb GeV^-4,0.00980454,0.0058256,CLAS,e-,5.88,p,0.93827208816
