xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.096,-0.344,1.359,119.2,deg,15,d4SigUU,0.22488,nb GeV^-4,0.040484,0.089948,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,142.4,deg,15,d4SigUU,0.20847,nb GeV^-4,0.023679,0.069512,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,157.4,deg,15,d4SigUU,0.20545,nb GeV^-4,0.02132,0.069329,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,172.5,deg,15,d4SigUU,0.19819,nb GeV^-4,0.023075,0.065617,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,187.5,deg,15,d4SigUU,0.20519,nb GeV^-4,0.034177,0.071743,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,210.4,deg,15,d4SigUU,0.11614,nb GeV^-4,0.032174,0.048606,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,256.1,deg,15,d4SigUU,0.36742,nb GeV^-4,0.068027,0.13041,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,277.9,deg,15,d4SigUU,0.39893,nb GeV^-4,0.06457,0.13778,CLAS,e-,10.6,p,0.938272088
0.096,-0.344,1.359,293.1,deg,15,d4SigUU,0.52166,nb GeV^-4,0.086716,0.19357,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,20.8,deg,16,d4SigUU,2.168,nb GeV^-4,0.27973,0.99887,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,36.4,deg,16,d4SigUU,0.78701,nb GeV^-4,0.063492,0.29342,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,51.7,deg,16,d4SigUU,0.3106,nb GeV^-4,0.04163,0.10805,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,73,deg,16,d4SigUU,0.27088,nb GeV^-4,0.078127,0.11513,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,119.3,deg,16,d4SigUU,0.10709,nb GeV^-4,0.033944,0.042344,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,142.4,deg,16,d4SigUU,0.077691,nb GeV^-4,0.013964,0.029815,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,157.5,deg,16,d4SigUU,0.068298,nb GeV^-4,0.011194,0.022738,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,172.5,deg,16,d4SigUU,0.073285,nb GeV^-4,0.012367,0.025444,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,187.5,deg,16,d4SigUU,0.064693,nb GeV^-4,0.017413,0.025832,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,256,deg,16,d4SigUU,0.08415,nb GeV^-4,0.014127,0.03289,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,277.9,deg,16,d4SigUU,0.14746,nb GeV^-4,0.020447,0.059113,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,293.1,deg,16,d4SigUU,0.2339,nb GeV^-4,0.034683,0.078742,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,308.3,deg,16,d4SigUU,0.32558,nb GeV^-4,0.04751,0.12648,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,323.6,deg,16,d4SigUU,0.71796,nb GeV^-4,0.057149,0.28607,CLAS,e-,10.6,p,0.938272088
0.103,-0.494,1.317,339.1,deg,16,d4SigUU,2.4525,nb GeV^-4,0.29025,0.82396,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,21,deg,17,d4SigUU,0.91303,nb GeV^-4,0.12315,0.33433,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,36.4,deg,17,d4SigUU,0.31752,nb GeV^-4,0.03623,0.12635,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,51.7,deg,17,d4SigUU,0.13558,nb GeV^-4,0.031935,0.050586,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,73.1,deg,17,d4SigUU,0.09455,nb GeV^-4,0.019891,0.039065,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,149.7,deg,17,d4SigUU,0.037111,nb GeV^-4,0.0084533,0.015838,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,249.3,deg,17,d4SigUU,0.042787,nb GeV^-4,0.0092167,0.016623,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,286.9,deg,17,d4SigUU,0.071556,nb GeV^-4,0.014544,0.026869,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,318.7,deg,17,d4SigUU,0.21246,nb GeV^-4,0.024392,0.07656,CLAS,e-,10.6,p,0.938272088
0.11,-0.652,1.299,339,deg,17,d4SigUU,0.98316,nb GeV^-4,0.11778,0.37469,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,36.9,deg,18,d4SigUU,6.5857,nb GeV^-4,0.7781,3.3323,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,52,deg,18,d4SigUU,4.6323,nb GeV^-4,0.61204,2.2685,CLAS,e-,10.6,p,0.938272088
