,xB,t,Q2,phi,bin,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
114,0.125,-0.603,1.132,217.7,6,deg,d4SigUU,0.0612732,nb GeV^-4,0.00656281,0.00646752,CLAS,e-,5.88,p,0.938272088
115,0.125,-0.603,1.132,232.8,6,deg,d4SigUU,0.06267,nb GeV^-4,0.0068332,0.00651844,CLAS,e-,5.88,p,0.938272088
116,0.125,-0.603,1.131,262.9,6,deg,d4SigUU,0.0960418,nb GeV^-4,0.00958596,0.00765408,CLAS,e-,5.88,p,0.938272088
117,0.125,-0.603,1.131,278,6,deg,d4SigUU,0.185771,nb GeV^-4,0.0150603,0.0135877,CLAS,e-,5.88,p,0.938272088
118,0.125,-0.603,1.131,293.1,6,deg,d4SigUU,0.215698,nb GeV^-4,0.0158616,0.0198476,CLAS,e-,5.88,p,0.938272088
119,0.125,-0.603,1.131,308.2,6,deg,d4SigUU,0.282977,nb GeV^-4,0.0203607,0.0193214,CLAS,e-,5.88,p,0.938272088
120,0.126,-0.602,1.131,323.3,6,deg,d4SigUU,0.647805,nb GeV^-4,0.032533,0.0387197,CLAS,e-,5.88,p,0.938272088
121,0.125,-0.615,1.125,337.1,6,deg,d4SigUU,0.801775,nb GeV^-4,0.052835,0.0502224,CLAS,e-,5.88,p,0.938272088
122,0.126,-0.859,1.13,7.3,7,deg,d4SigUU,0.329197,nb GeV^-4,0.0188547,0.0208522,CLAS,e-,5.88,p,0.938272088
123,0.126,-0.86,1.13,21.9,7,deg,d4SigUU,0.255241,nb GeV^-4,0.0145719,0.015907,CLAS,e-,5.88,p,0.938272088
124,0.126,-0.862,1.13,36.8,7,deg,d4SigUU,0.154395,nb GeV^-4,0.00837983,0.0104128,CLAS,e-,5.88,p,0.938272088
125,0.125,-0.863,1.131,51.8,7,deg,d4SigUU,0.0900297,nb GeV^-4,0.0060773,0.00786958,CLAS,e-,5.88,p,0.938272088
126,0.125,-0.864,1.131,66.9,7,deg,d4SigUU,0.067338,nb GeV^-4,0.00630898,0.00555511,CLAS,e-,5.88,p,0.938272088
127,0.125,-0.864,1.131,82,7,deg,d4SigUU,0.048208,nb GeV^-4,0.00604392,0.00386852,CLAS,e-,5.88,p,0.938272088
128,0.125,-0.864,1.132,97.1,7,deg,d4SigUU,0.0362127,nb GeV^-4,0.00428624,0.00376946,CLAS,e-,5.88,p,0.938272088
129,0.125,-0.864,1.132,112.1,7,deg,d4SigUU,0.0291899,nb GeV^-4,0.00392509,0.00276145,CLAS,e-,5.88,p,0.938272088
130,0.125,-0.864,1.132,127.2,7,deg,d4SigUU,0.0260556,nb GeV^-4,0.00499986,0.00216858,CLAS,e-,5.88,p,0.938272088
131,0.125,-0.864,1.132,157.4,7,deg,d4SigUU,0.0208541,nb GeV^-4,0.00645693,0.00397682,CLAS,e-,5.88,p,0.938272088
132,0.125,-0.864,1.132,187.5,7,deg,d4SigUU,0.0135793,nb GeV^-4,0.0131094,0.000791803,CLAS,e-,5.88,p,0.938272088
133,0.125,-0.864,1.132,202.6,7,deg,d4SigUU,0.0167727,nb GeV^-4,0.00924293,0.00436696,CLAS,e-,5.88,p,0.938272088
134,0.125,-0.864,1.132,217.7,7,deg,d4SigUU,0.00847254,nb GeV^-4,0.00288071,0.00147468,CLAS,e-,5.88,p,0.938272088
135,0.125,-0.864,1.132,232.8,7,deg,d4SigUU,0.0256329,nb GeV^-4,0.0046791,0.00187016,CLAS,e-,5.88,p,0.938272088
136,0.125,-0.864,1.132,262.9,7,deg,d4SigUU,0.0324644,nb GeV^-4,0.0043757,0.00318831,CLAS,e-,5.88,p,0.938272088
137,0.125,-0.864,1.131,278,7,deg,d4SigUU,0.0495266,nb GeV^-4,0.00453731,0.00526502,CLAS,e-,5.88,p,0.938272088
138,0.125,-0.864,1.131,293.1,7,deg,d4SigUU,0.0727991,nb GeV^-4,0.00680726,0.00567375,CLAS,e-,5.88,p,0.938272088
