,x_B,Q^2,t,phi,value,stat_u,syst_u (upper limit),syst_u (lower limit),col,obs,units,target,beam,RS
112,0.364,3.18,-0.418,247.5,-0.00175,0.00058,0.00047,-6.5e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
113,0.364,3.18,-0.418,262.5,-0.0033,0.00076,0.00042,-0.00039,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
114,0.364,3.18,-0.418,277.5,-0.00259,0.00091,0.00041,-0.00031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
115,0.364,3.18,-0.418,292.5,-0.00304,0.0011,0.00028,-0.00049,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
116,0.364,3.18,-0.418,307.5,-0.004,0.0016,0.00043,-0.001,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
117,0.364,3.18,-0.418,322.5,-0.004,0.0027,0.00088,-0.001,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
118,0.364,3.18,-0.418,337.5,-0.009,0.0088,0.0023,-0.0036,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
119,0.364,3.18,-0.418,352.5,-0.00109,0.032,9e-05,-0.014,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
120,0.367,3.65,-0.0316,7.5,4.67e-05,0.0008,0.00025,-0.00028,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
121,0.367,3.65,-0.0316,22.5,0.002,0.0009,0.00045,-0.00021,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
122,0.367,3.65,-0.0316,37.5,0.00121,0.00094,0.00035,-0.00028,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
123,0.367,3.65,-0.0316,52.5,0.0025,0.00093,0.00014,-0.00038,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
124,0.367,3.65,-0.0316,67.5,0.00524,0.00093,0.00052,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
125,0.367,3.65,-0.0316,82.5,0.00447,0.00088,0.0007,-0.00052,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
126,0.367,3.65,-0.0316,97.5,0.00504,0.00087,0.00038,-0.00063,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
127,0.367,3.65,-0.0316,112.5,0.00366,0.00083,0.0003,-0.00024,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
128,0.367,3.65,-0.0316,127.5,0.00255,0.0008,0.00025,-8.7e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
129,0.367,3.65,-0.0316,142.5,0.00211,0.00074,0.00027,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
130,0.367,3.65,-0.0316,157.5,0.0018,0.00069,0.00042,-0.00012,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
131,0.367,3.65,-0.0316,172.5,0.000316,0.00057,0.00032,-0.00025,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
132,0.367,3.65,-0.0316,187.5,-0.00159,0.0011,0.00026,-0.00036,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
133,0.367,3.65,-0.0316,202.5,-0.000766,0.00088,0.00029,-3.2e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
134,0.367,3.65,-0.0316,217.5,-0.000984,0.00082,0.00023,-0.00015,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
135,0.367,3.65,-0.0316,232.5,-0.00546,0.00086,0.0003,-0.00024,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
136,0.367,3.65,-0.0316,247.5,-0.00248,0.00086,0.00032,-0.00031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
137,0.367,3.65,-0.0316,262.5,-0.00416,0.00094,0.00031,-0.00016,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
138,0.367,3.65,-0.0316,277.5,-0.00338,0.00099,0.00021,-0.00031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
139,0.367,3.65,-0.0316,292.5,-0.00476,0.001,0.00039,-0.00028,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
140,0.367,3.65,-0.0316,307.5,-0.00303,0.001,0.00031,-0.00038,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
141,0.367,3.65,-0.0316,322.5,-0.00333,0.0011,0.00033,-0.00034,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
142,0.367,3.65,-0.0316,337.5,0.000695,0.0011,0.00033,-0.00059,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
143,0.367,3.65,-0.0316,352.5,0.00406,0.0015,0.00068,-0.0005,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
144,0.367,3.65,-0.0928,7.5,0.000105,0.001,0.00016,-0.00029,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
145,0.367,3.65,-0.0928,22.5,0.000336,0.001,0.00077,-0.00018,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
146,0.367,3.65,-0.0928,37.5,0.00407,0.00096,0.00049,-0.00025,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
147,0.367,3.65,-0.0928,52.5,0.00455,0.0009,0.00017,-0.00047,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
148,0.367,3.65,-0.0928,67.5,0.00522,0.00085,0.00028,-0.00026,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
149,0.367,3.65,-0.0928,82.5,0.00454,0.00075,0.0002,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
150,0.367,3.65,-0.0928,97.5,0.00418,0.00071,0.00049,-0.00018,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
151,0.367,3.65,-0.0928,112.5,0.00322,0.00063,0.00012,-0.00027,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
152,0.367,3.65,-0.0928,127.5,0.00184,0.00063,0.00033,-9.9e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
153,0.367,3.65,-0.0928,142.5,0.00216,0.00057,0.00022,-0.00028,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
154,0.367,3.65,-0.0928,157.5,0.000844,0.00051,0.00011,-0.00027,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
155,0.367,3.65,-0.0928,172.5,0.000141,0.00046,0.00019,-0.00012,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
156,0.367,3.65,-0.0928,187.5,-0.000404,0.00065,0.00019,-0.00012,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
157,0.367,3.65,-0.0928,202.5,-0.000867,0.00062,0.00025,-5.7e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
158,0.367,3.65,-0.0928,217.5,-0.00193,0.00063,8e-05,-0.00031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
159,0.367,3.65,-0.0928,232.5,-0.00231,0.00064,0.00043,-0.0001,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
160,0.367,3.65,-0.0928,247.5,-0.00301,0.00068,0.00033,-0.00017,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
161,0.367,3.65,-0.0928,262.5,-0.00379,0.00072,0.0004,-0.00013,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
162,0.367,3.65,-0.0928,277.5,-0.00247,0.00078,0.00025,-0.00037,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
163,0.367,3.65,-0.0928,292.5,-0.00493,0.00088,0.00036,-0.00054,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
164,0.367,3.65,-0.0928,307.5,-0.00426,0.00094,0.00043,-0.00044,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
165,0.367,3.65,-0.0928,322.5,-0.00365,0.001,0.00029,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
166,0.367,3.65,-0.0928,337.5,-0.00225,0.0012,0.00036,-0.00058,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
167,0.367,3.65,-0.0928,352.5,-0.00146,0.0014,0.00056,-0.00065,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
168,0.369,3.67,-0.155,7.5,0.0019,0.0014,0.0003,-0.00056,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
169,0.369,3.67,-0.155,22.5,0.00465,0.0012,0.00019,-0.00053,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
170,0.369,3.67,-0.155,37.5,0.00462,0.001,0.00053,-0.00024,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
171,0.369,3.67,-0.155,52.5,0.00333,0.00089,0.00027,-0.00027,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
172,0.369,3.67,-0.155,67.5,0.00431,0.00078,0.00032,-0.0003,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
173,0.369,3.67,-0.155,82.5,0.00304,0.00068,0.0002,-0.00033,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
174,0.369,3.67,-0.155,97.5,0.00365,0.00063,0.00024,-0.00021,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
175,0.369,3.67,-0.155,112.5,0.00195,0.00058,0.0001,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
176,0.369,3.67,-0.155,127.5,0.00144,0.00053,0.0002,-7.6e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
